Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmpYes,AcceptedCmp2,Complain,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal
"? 49,389.00",Yes,Yes,55,? 40.00,? 0.00,? 19.00,? 2.00,? 1.00,? 3.00,1,2,0,3,7,No,No,No,No,No,No,No,69,2463,No,No,Yes,No,No,No,No,No,Yes,No,? 62.00
"? 67,353.00",No,Yes,37,? 702.00,? 17.00,? 151.00,? 0.00,? 8.00,? 35.00,5,5,6,12,2,No,No,No,No,No,No,No,50,2339,No,Yes,No,No,No,No,No,No,No,Yes,? 878.00
"? 23,718.00",Yes,No,76,? 6.00,? 3.00,? 14.00,? 15.00,? 7.00,? 36.00,3,3,1,2,7,No,No,No,No,No,No,No,44,2459,No,Yes,No,No,No,Yes,No,No,No,No,? 45.00
"? 42,429.00",No,Yes,99,? 55.00,? 0.00,? 6.00,? 2.00,? 0.00,? 4.00,2,1,1,3,5,No,No,No,No,No,No,No,47,2297,No,No,No,No,Yes,No,No,Yes,No,No,? 63.00
"? 48,948.00",No,No,53,? 437.00,? 8.00,? 206.00,? 160.00,? 49.00,? 42.00,2,7,10,5,6,Yes,No,No,No,No,No,Yes,77,2672,Yes,No,No,No,No,No,No,No,No,Yes,? 860.00
"? 80,011.00",No,Yes,3,? 421.00,? 76.00,? 536.00,? 82.00,? 178.00,? 102.00,2,8,6,5,4,No,No,No,No,No,No,No,40,2585,No,Yes,No,No,No,No,No,Yes,No,No,"? 1,293.00"
"? 20,559.00",Yes,No,88,? 13.00,? 1.00,? 29.00,? 3.00,? 0.00,? 7.00,2,2,0,3,8,No,No,No,No,No,No,No,35,2633,No,Yes,No,No,No,No,No,No,Yes,No,? 46.00
"? 21,994.00",No,Yes,4,? 9.00,? 0.00,? 6.00,? 3.00,? 1.00,? 3.00,1,0,0,3,5,No,No,No,No,No,No,No,63,2711,No,No,No,Yes,No,No,No,Yes,No,No,? 19.00
"? 7,500.00",Yes,No,19,? 3.00,? 1.00,? 10.00,? 3.00,? 2.00,? 12.00,3,2,0,3,5,No,No,No,No,No,No,No,45,2429,No,Yes,No,No,No,No,No,No,Yes,No,? 19.00
"? 79,941.00",No,No,72,? 123.00,? 164.00,? 266.00,? 227.00,? 30.00,? 174.00,1,2,4,9,1,No,No,No,No,No,No,No,44,2160,No,No,Yes,No,No,No,No,Yes,No,No,? 810.00
"? 7,500.00",No,No,24,? 3.00,? 18.00,? 14.00,? 15.00,? 22.00,? 50.00,3,3,1,3,9,No,No,No,No,No,No,Yes,24,2756,No,Yes,No,No,No,Yes,No,No,No,No,? 72.00
"? 41,728.00",Yes,No,92,? 13.00,? 6.00,? 15.00,? 3.00,? 5.00,? 13.00,1,2,0,2,10,No,No,No,No,No,No,No,52,2560,No,No,No,Yes,No,No,No,Yes,No,No,? 42.00
"? 72,550.00",Yes,Yes,39,? 826.00,? 50.00,? 317.00,? 50.00,? 38.00,? 38.00,9,5,2,12,8,No,No,No,No,No,No,No,66,2757,No,Yes,No,No,No,No,No,No,No,Yes,"? 1,281.00"
"? 65,486.00",No,Yes,29,? 245.00,? 19.00,? 125.00,? 37.00,? 67.00,? 14.00,1,4,2,10,2,No,No,No,No,No,No,No,63,2207,No,No,No,No,Yes,No,No,Yes,No,No,? 493.00
"? 79,143.00",No,No,2,? 650.00,? 37.00,? 780.00,? 27.00,? 167.00,? 32.00,1,6,9,13,3,No,No,No,No,No,No,No,56,2846,No,Yes,No,No,No,No,No,No,Yes,No,"? 1,661.00"
"? 35,790.00",Yes,No,54,? 12.00,? 6.00,? 20.00,? 30.00,? 1.00,? 3.00,2,2,0,3,7,No,No,No,No,No,No,No,43,2702,No,No,Yes,No,No,No,No,Yes,No,No,? 69.00
"? 82,582.00",No,No,54,? 510.00,? 120.00,? 550.00,? 156.00,? 40.00,? 241.00,1,4,9,7,1,Yes,No,No,Yes,No,No,Yes,43,2181,Yes,No,No,No,No,No,No,Yes,No,No,"? 1,376.00"
"? 66,373.00",Yes,Yes,57,? 328.00,? 9.00,? 124.00,? 12.00,? 24.00,? 109.00,7,4,2,10,3,No,No,No,No,No,No,No,42,2541,No,Yes,No,No,No,No,No,Yes,No,No,? 497.00
"? 82,384.00",No,No,55,? 984.00,? 51.00,? 432.00,? 180.00,? 120.00,? 190.00,1,3,10,13,1,No,No,Yes,No,No,No,Yes,65,2746,No,No,No,Yes,No,No,No,No,Yes,No,"? 1,767.00"
"? 70,287.00",No,No,30,? 295.00,? 35.00,? 482.00,? 121.00,? 120.00,? 40.00,1,5,5,10,3,No,No,No,No,No,No,Yes,54,2612,Yes,No,No,No,No,No,No,Yes,No,No,"? 1,053.00"
"? 27,938.00",Yes,No,31,? 13.00,? 0.00,? 8.00,? 2.00,? 1.00,? 5.00,1,1,0,4,3,No,No,No,No,No,No,No,32,2221,No,No,Yes,No,No,No,No,Yes,No,No,? 24.00
"? 55,954.00",No,Yes,63,? 447.00,? 0.00,? 28.00,? 0.00,? 0.00,? 43.00,3,8,2,6,7,No,No,No,No,No,No,No,52,2277,No,Yes,No,No,No,No,No,No,No,Yes,? 475.00
"? 75,777.00",No,No,12,? 712.00,? 26.00,? 538.00,? 69.00,? 13.00,? 80.00,1,3,6,11,1,No,Yes,Yes,No,No,No,Yes,38,2519,No,No,Yes,No,No,No,No,No,Yes,No,"? 1,358.00"
"? 66,653.00",Yes,Yes,18,? 452.00,? 18.00,? 102.00,? 16.00,? 18.00,? 6.00,4,4,2,12,3,No,No,No,No,No,No,No,45,2819,No,No,No,Yes,No,No,No,Yes,No,No,? 606.00
"? 61,823.00",No,Yes,26,? 523.00,? 7.00,? 134.00,? 37.00,? 14.00,? 169.00,4,8,2,10,7,No,No,No,No,No,No,No,68,2655,No,No,Yes,No,No,No,No,Yes,No,No,? 715.00
"? 67,680.00",No,Yes,8,? 546.00,? 0.00,? 48.00,? 0.00,? 6.00,? 6.00,1,7,3,8,5,No,No,No,No,No,No,No,69,2542,No,No,No,No,Yes,No,No,No,No,Yes,? 600.00
"? 70,666.00",No,No,29,? 398.00,? 40.00,? 367.00,? 119.00,? 122.00,? 30.00,1,7,4,4,4,No,No,No,No,No,No,No,72,2364,No,No,No,Yes,No,No,No,Yes,No,No,"? 1,046.00"
"? 25,721.00",Yes,No,75,? 1.00,? 3.00,? 6.00,? 3.00,? 6.00,? 15.00,1,1,1,2,7,No,No,No,No,No,No,Yes,49,2563,No,Yes,No,No,No,No,No,Yes,No,No,? 19.00
"? 32,474.00",Yes,Yes,0,? 10.00,? 0.00,? 1.00,? 0.00,? 0.00,? 0.00,1,1,0,2,7,No,No,No,No,No,No,No,53,2208,No,No,No,Yes,No,No,No,Yes,No,No,? 11.00
"? 88,194.00",No,Yes,19,? 688.00,? 14.00,? 309.00,? 201.00,? 24.00,? 38.00,1,11,10,10,5,Yes,No,No,Yes,No,No,Yes,41,2261,No,No,Yes,No,No,Yes,No,No,No,No,"? 1,236.00"
"? 69,096.00",No,Yes,4,? 247.00,? 49.00,? 159.00,? 7.00,? 82.00,? 109.00,1,5,2,10,4,No,No,No,No,No,No,No,62,2434,No,No,No,Yes,No,No,No,Yes,No,No,? 544.00
"? 74,854.00",Yes,Yes,90,? 856.00,? 59.00,? 487.00,? 58.00,? 29.00,? 73.00,7,2,5,5,5,No,No,No,No,No,No,No,50,2606,No,No,No,Yes,No,No,No,Yes,No,No,"? 1,489.00"
"? 66,991.00",No,No,1,? 496.00,? 36.00,? 460.00,? 189.00,? 60.00,? 12.00,3,4,8,6,3,No,No,No,No,No,No,No,66,2815,No,Yes,No,No,No,No,No,No,Yes,No,"? 1,241.00"
"? 65,031.00",No,Yes,29,? 258.00,? 107.00,? 291.00,? 84.00,? 37.00,? 86.00,4,10,3,13,7,No,No,No,No,No,No,No,61,2628,No,Yes,No,No,No,No,No,Yes,No,No,? 777.00
"? 60,631.00",Yes,Yes,88,? 565.00,? 6.00,? 65.00,? 0.00,? 6.00,? 19.00,5,9,2,8,7,No,Yes,No,No,No,No,No,45,2609,No,Yes,No,No,No,No,No,No,No,Yes,? 642.00
"? 28,332.00",No,No,58,? 14.00,? 10.00,? 13.00,? 4.00,? 15.00,? 9.00,1,2,1,4,2,No,No,No,No,No,No,No,68,2219,No,Yes,No,No,No,No,No,Yes,No,No,? 56.00
"? 40,246.00",Yes,No,68,? 2.00,? 1.00,? 6.00,? 2.00,? 1.00,? 1.00,1,1,0,2,6,No,No,No,No,No,No,No,43,2716,Yes,No,No,No,No,No,No,Yes,No,No,? 12.00
"? 75,251.00",No,No,34,? 721.00,? 111.00,? 925.00,? 97.00,? 18.00,? 18.00,1,7,6,5,5,No,No,No,No,No,No,Yes,48,2830,No,Yes,No,No,No,No,No,No,Yes,No,"? 1,872.00"
"? 75,825.00",No,No,40,"? 1,032.00",? 105.00,? 779.00,? 137.00,? 105.00,? 51.00,0,5,8,9,4,Yes,No,No,No,No,No,Yes,44,2784,No,No,Yes,No,No,No,No,Yes,No,No,"? 2,158.00"
"? 26,326.00",No,No,12,? 1.00,? 0.00,? 5.00,? 0.00,? 3.00,? 9.00,1,0,0,3,3,No,No,No,No,No,Yes,No,44,2457,No,No,No,Yes,No,Yes,No,No,No,No,? 9.00
"? 56,046.00",No,No,9,? 577.00,? 0.00,? 64.00,? 0.00,? 0.00,? 51.00,2,10,1,8,8,Yes,No,No,No,No,No,Yes,55,2702,No,No,No,Yes,No,No,No,Yes,No,No,? 641.00
"? 29,760.00",Yes,No,87,? 64.00,? 4.00,? 68.00,? 7.00,? 5.00,? 17.00,4,3,1,4,8,No,No,No,No,No,No,No,35,2828,No,No,Yes,No,No,No,No,Yes,No,No,? 148.00
"? 26,304.00",Yes,No,5,? 4.00,? 1.00,? 5.00,? 2.00,? 0.00,? 4.00,1,1,0,2,7,No,No,No,No,No,No,No,51,2530,No,Yes,No,No,No,No,No,Yes,No,No,? 12.00
"? 23,559.00",Yes,No,87,? 25.00,? 5.00,? 19.00,? 7.00,? 0.00,? 23.00,3,3,0,3,7,No,No,No,No,No,No,No,47,2520,No,Yes,No,No,No,Yes,No,No,No,No,? 56.00
"? 38,620.00",No,No,56,? 112.00,? 17.00,? 44.00,? 34.00,? 22.00,? 89.00,1,2,5,3,3,No,No,No,No,No,No,No,57,2573,No,No,No,Yes,No,No,No,No,Yes,No,? 229.00
"? 81,361.00",No,No,18,? 163.00,? 23.00,? 424.00,? 27.00,? 65.00,? 76.00,1,3,10,13,1,No,No,No,No,No,No,No,33,2283,Yes,No,No,No,No,No,No,Yes,No,No,? 702.00
"? 29,440.00",Yes,Yes,95,? 17.00,? 8.00,? 14.00,? 10.00,? 4.00,? 3.00,2,1,0,4,7,No,No,No,No,No,No,No,60,2481,No,Yes,No,No,No,No,No,Yes,No,No,? 53.00
"? 36,138.00",Yes,Yes,48,? 130.00,? 0.00,? 16.00,? 0.00,? 0.00,? 5.00,5,3,1,4,7,No,Yes,No,No,No,No,No,50,2507,No,Yes,No,No,No,No,No,No,Yes,No,? 146.00
"? 50,388.00",No,Yes,3,? 292.00,? 6.00,? 37.00,? 0.00,? 3.00,? 34.00,4,6,1,6,7,No,Yes,No,Yes,No,No,Yes,63,2191,No,No,Yes,No,No,No,No,Yes,No,No,? 338.00
"? 79,593.00",No,No,70,? 350.00,? 60.00,? 568.00,? 110.00,? 133.00,? 145.00,1,5,6,7,2,No,No,Yes,No,No,No,No,47,2207,No,Yes,No,No,No,No,No,Yes,No,No,"? 1,221.00"
"? 54,178.00",No,Yes,79,? 135.00,? 9.00,? 39.00,? 4.00,? 0.00,? 7.00,1,2,2,5,2,No,No,No,No,No,No,No,53,2318,No,No,No,Yes,No,No,No,Yes,No,No,? 187.00
"? 42,394.00",Yes,No,69,? 15.00,? 2.00,? 10.00,? 0.00,? 1.00,? 4.00,1,1,0,3,7,No,No,No,No,No,No,No,48,2257,No,No,Yes,No,No,No,No,No,Yes,No,? 28.00
"? 23,626.00",Yes,No,84,? 27.00,? 2.00,? 14.00,? 0.00,? 0.00,? 0.00,3,3,1,3,5,No,No,No,No,No,No,No,50,2195,No,Yes,No,No,No,No,No,No,No,Yes,? 43.00
"? 30,096.00",Yes,No,30,? 5.00,? 3.00,? 11.00,? 12.00,? 5.00,? 9.00,1,2,0,3,6,No,No,No,No,No,No,No,37,2197,No,Yes,No,No,No,No,No,Yes,No,No,? 36.00
"? 47,916.00",No,Yes,72,? 505.00,? 0.00,? 26.00,? 0.00,? 0.00,? 75.00,5,7,4,6,6,No,Yes,No,No,No,No,No,60,2743,No,No,No,No,Yes,No,No,Yes,No,No,? 531.00
"? 51,813.00",Yes,Yes,37,? 51.00,? 2.00,? 7.00,? 0.00,? 1.00,? 2.00,2,2,0,3,7,No,No,No,No,No,No,No,48,2603,Yes,No,No,No,No,No,No,Yes,No,No,? 61.00
"? 78,497.00",No,No,44,? 207.00,? 26.00,? 447.00,? 75.00,? 0.00,? 223.00,1,5,7,12,2,No,No,No,Yes,No,No,No,69,2369,No,Yes,No,No,No,Yes,No,No,No,No,? 755.00
"? 50,150.00",No,No,32,? 135.00,? 46.00,? 92.00,? 65.00,? 61.00,? 11.00,2,5,2,7,5,No,No,No,No,No,No,No,37,2533,No,Yes,No,No,No,No,No,No,No,Yes,? 399.00
"? 47,823.00",No,Yes,0,? 53.00,? 1.00,? 5.00,? 2.00,? 1.00,? 10.00,2,2,0,3,8,No,No,No,No,No,No,No,60,2500,No,No,Yes,No,No,Yes,No,No,No,No,? 62.00
"? 34,554.00",No,Yes,43,? 41.00,? 1.00,? 6.00,? 2.00,? 0.00,? 5.00,2,2,0,3,6,No,No,No,No,No,No,No,61,2250,No,No,Yes,No,No,No,No,No,No,Yes,? 50.00
"? 85,693.00",No,Yes,59,? 386.00,? 172.00,? 183.00,? 185.00,? 132.00,? 111.00,2,9,5,11,5,No,No,No,No,No,No,No,41,2594,No,No,No,Yes,No,No,No,Yes,No,No,"? 1,058.00"
"? 65,846.00",No,No,68,? 562.00,? 81.00,? 276.00,? 80.00,? 40.00,? 81.00,1,6,3,6,4,No,No,No,No,No,No,No,75,2567,No,Yes,No,No,No,No,No,No,No,Yes,"? 1,039.00"
"? 87,195.00",No,No,35,? 217.00,? 76.00,? 690.00,? 50.00,? 26.00,? 38.00,1,3,11,5,1,No,No,No,No,No,No,Yes,61,2211,No,Yes,No,No,No,No,No,Yes,No,No,"? 1,059.00"
"? 24,594.00",Yes,No,94,? 1.00,? 3.00,? 6.00,? 10.00,? 0.00,? 9.00,1,1,0,3,5,No,No,No,No,No,No,No,41,2360,No,No,No,Yes,No,No,Yes,No,No,No,? 20.00
"? 49,096.00",Yes,Yes,15,? 144.00,? 1.00,? 32.00,? 2.00,? 1.00,? 7.00,4,4,1,4,7,No,No,No,No,No,No,No,56,2437,No,Yes,No,No,No,No,No,Yes,No,No,? 180.00
"? 52,413.00",No,Yes,56,? 295.00,? 106.00,? 271.00,? 75.00,? 98.00,? 65.00,4,6,4,12,6,No,No,No,No,No,No,No,51,2671,No,Yes,No,No,No,No,No,Yes,No,No,? 845.00
"? 38,557.00",Yes,No,17,? 76.00,? 3.00,? 31.00,? 4.00,? 4.00,? 27.00,2,3,1,3,7,No,No,No,No,No,No,No,42,2716,No,No,Yes,No,No,No,No,Yes,No,No,? 118.00
"? 89,058.00",No,No,18,? 454.00,? 194.00,? 106.00,? 31.00,? 22.00,? 43.00,1,5,4,4,2,No,No,No,No,No,No,No,60,2728,No,Yes,No,No,No,No,No,No,Yes,No,? 807.00
"? 77,298.00",No,Yes,46,? 425.00,? 115.00,? 292.00,? 23.00,? 35.00,? 79.00,1,6,6,11,3,No,No,No,No,No,No,No,41,2398,No,No,No,Yes,No,No,No,Yes,No,No,? 890.00
"? 68,126.00",No,No,40,"? 1,332.00",? 17.00,? 311.00,? 23.00,? 51.00,? 86.00,1,7,4,5,9,No,Yes,No,No,No,No,Yes,29,2755,No,No,Yes,No,No,No,No,No,No,Yes,"? 1,734.00"
"? 57,288.00",No,Yes,27,? 527.00,? 0.00,? 21.00,? 0.00,? 0.00,? 60.00,3,8,1,8,6,No,Yes,No,No,No,No,No,57,2163,No,No,No,Yes,No,No,No,No,Yes,No,? 548.00
"? 86,037.00",No,No,95,? 490.00,? 44.00,? 125.00,? 29.00,? 20.00,? 22.00,1,6,7,11,3,No,Yes,Yes,No,No,No,Yes,29,2702,No,No,Yes,No,No,No,No,Yes,No,No,? 708.00
"? 43,974.00",Yes,No,19,? 378.00,? 0.00,? 101.00,? 0.00,? 0.00,? 72.00,5,6,4,6,7,No,No,No,No,No,No,No,40,2723,No,Yes,No,No,No,No,No,No,No,Yes,? 479.00
"? 50,785.00",Yes,Yes,27,? 64.00,? 1.00,? 21.00,? 0.00,? 1.00,? 27.00,2,2,1,3,6,No,No,No,No,No,No,No,58,2451,No,No,Yes,No,No,No,No,Yes,No,No,? 87.00
"? 90,765.00",No,No,25,? 547.00,? 99.00,? 812.00,? 151.00,? 82.00,? 33.00,0,4,6,5,1,No,No,Yes,Yes,No,No,No,50,2315,No,Yes,No,No,No,No,No,Yes,No,No,"? 1,691.00"
"? 36,550.00",Yes,No,74,? 47.00,? 90.00,? 94.00,? 123.00,? 103.00,? 120.00,5,9,1,5,9,No,No,No,No,No,No,No,42,2654,No,Yes,No,No,No,Yes,No,No,No,No,? 457.00
"? 30,753.00",Yes,Yes,85,? 12.00,? 5.00,? 25.00,? 0.00,? 9.00,? 30.00,2,1,1,3,5,No,No,No,No,No,No,No,53,2512,No,No,No,Yes,No,Yes,No,No,No,No,? 51.00
"? 21,918.00",Yes,No,37,? 1.00,? 6.00,? 7.00,? 11.00,? 5.00,? 3.00,2,2,0,3,6,No,No,No,No,No,No,No,51,2386,No,No,No,Yes,No,No,No,Yes,No,No,? 30.00
"? 56,129.00",No,Yes,65,? 320.00,? 48.00,? 133.00,? 39.00,? 72.00,? 48.00,4,6,2,10,4,No,No,No,No,No,No,No,67,2533,No,No,No,Yes,No,No,No,No,Yes,No,? 612.00
"? 32,557.00",Yes,No,13,? 34.00,? 3.00,? 29.00,? 0.00,? 4.00,? 10.00,3,2,1,3,5,No,No,No,No,No,No,Yes,53,2284,No,No,Yes,No,No,No,No,No,Yes,No,? 70.00
"? 19,510.00",Yes,No,63,? 9.00,? 0.00,? 7.00,? 3.00,? 4.00,? 7.00,2,1,0,3,7,No,No,No,No,No,No,No,35,2457,No,Yes,No,No,No,No,No,No,Yes,No,? 23.00
"? 30,992.00",Yes,No,83,? 17.00,? 0.00,? 14.00,? 7.00,? 3.00,? 2.00,1,1,0,3,7,No,No,No,No,No,No,No,44,2592,Yes,No,No,No,No,No,No,Yes,No,No,? 41.00
"? 1,01,970.00",No,No,69,? 722.00,? 27.00,? 102.00,? 44.00,? 72.00,? 168.00,0,6,8,13,2,No,Yes,Yes,Yes,No,No,Yes,37,2633,No,No,Yes,No,No,No,No,Yes,No,No,? 967.00
"? 71,488.00",No,No,87,? 162.00,? 33.00,? 124.00,? 40.00,? 28.00,? 172.00,2,3,4,7,1,No,No,No,No,No,No,No,55,2655,No,No,No,Yes,No,Yes,No,No,No,No,? 387.00
"? 79,607.00",No,No,37,? 450.00,? 133.00,? 951.00,? 173.00,? 0.00,? 216.00,1,3,6,6,1,No,No,No,No,No,No,Yes,36,2593,No,No,Yes,No,No,No,No,Yes,No,No,"? 1,707.00"
